Status;Device ID;Location;Machine;Product;Category;Transaction;TransDate;Type;RCoil;RPrice;RQty;MCoil;MPrice;MQty;LineTotal;TransTotal;Prcd Date;;Count of Transaction;Column Labels;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Good Health Veggie Stix - Sea Salt;Food;14544244171;09/01/2022;Cash;113;1.5;1;113;1.5;1;1.5;1.5;09/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Snapple Diet Tea - Peach Tea;Non Carbonated;14545364044;09/01/2022;Cash;143;2.5;1;143;2.5;1;2.5;2.5;09/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;SunChips Multigrain - Harvest Cheddar;Food;14546537768;10/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;10/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;SunChips Multigrain - Harvest Cheddar;Food;14546538857;10/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;10/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Robert Irvine's - Fit Crunch -  Chocolate Pea;Food;14548352210;10/01/2022;Cash;133;2;1;133;2;1;2;2;10/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Keto Krisp - Almond/Chocolate;Carbonated;14548805292;10/01/2022;Cash;138;2;1;138;2;1;2;2;10/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Good Health Veggie Stix - Sea Salt;Food;14549326831;10/01/2022;Credit;110;1.5;1;110;1.5;1;1.5;1.5;10/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Mini Chips Ahoy;Food;14550134896;10/01/2022;Cash;120;1.5;1;120;1.5;1;1.5;1.5;10/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Mini Chips Ahoy;Food;14550138968;10/01/2022;Cash;120;1.5;1;120;1.5;1;1.5;1.5;10/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Snapple Diet Tea - Peach Tea;Non Carbonated;14550655562;10/01/2022;Credit;143;2.5;1;143;2.5;1;2.5;2.5;10/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Larabar - Peanut Butter chocolate Chip;Food;14550656367;10/01/2022;Credit;133;2;1;133;2;1;2;2;10/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Takis - Hot Chilli Pepper & Lime;Food;14550871574;11/01/2022;Cash;121;1.5;1;121;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Snapple Diet Tea - Lemon;Non Carbonated;14551808042;11/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;SunChips Multigrain - Harvest Cheddar;Food;14552516890;11/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Takis - Hot Chilli Pepper & Lime;Food;14552733245;11/01/2022;Credit;121;1.5;1;121;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;S. Pellegrino Sparkling Mineral Water;Water;14552862313;11/01/2022;Credit;143;2;1;143;2;1;2;2;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Robert Irvine's - Fit Crunch -  Chocolate Pea;Food;14552937252;11/01/2022;Cash;133;2;1;133;2;1;2;2;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Keto Krisp - Almond/Chocolate;Carbonated;14552939523;11/01/2022;Cash;138;2;1;138;2;1;2;2;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;SunChips Multigrain - Salsa;Food;14553464403;11/01/2022;Cash;112;1.5;1;112;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Mini Chips Ahoy;Food;14554766171;11/01/2022;Cash;120;1.5;1;120;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Takis - Hot Chilli Pepper & Lime;Food;14554772789;11/01/2022;Cash;121;1.5;1;121;1.5;1;1.5;1.5;11/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;SunChips Multigrain - Salsa;Food;14556408318;12/01/2022;Credit;112;1.5;1;112;1.5;1;1.5;1.5;12/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Miss Vickie's Potato Chip - Lime & Cracked Pe;Food;14557931817;12/01/2022;Cash;110;1.5;1;110;1.5;1;1.5;1.5;12/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Bai Antioxidant - Molokai Coconut;Non Carbonated;14558327394;12/01/2022;Cash;144;2.5;1;144;2.5;1;2.5;2.5;12/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Seapoint Farms Dry Roasted Edamame - Wasabi;Food;14558748149;12/01/2022;Cash;134;2.5;1;134;2.5;1;2.5;2.5;12/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Snapple Diet Tea - Raspberry;Non Carbonated;14559129065;12/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;12/01/2022;;;;;;;;
Processed;VJ300320611;Brunswick Sq Mall;BSQ Mall x1366 - ATT;Snapple Diet Tea - Raspberry;Non Carbonated;14559130790;12/01/2022;Cash;145;2.5;1;145;2.5;1;2.5;2.5;12/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Poland Springs Water;Water;14559155611;12/01/2022;Cash;144;1.5;1;144;1.5;1;1.5;1.5;12/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Poland Springs Water;Water;14559158935;12/01/2022;Cash;144;1.5;1;144;1.5;1;1.5;1.5;12/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Chum Fruit Bites - Mango/Strawberry;Food;14560200727;12/01/2022;Credit;132;1.25;1;132;1.25;1;1.25;1.25;12/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Monster Energy  Zero Ultra;Carbonated;14563310566;13/01/2022;Cash;146;3;1;146;3;1;3;3;13/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Takis - Hot Chilli Pepper & Lime;Food;14563329503;13/01/2022;Cash;123;1.5;1;123;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320686;Earle Asphalt;Earle Asphalt x1371;Cheetos Baked - Flaming Hot;Food;14563516111;13/01/2022;Cash;124;1.5;1;124;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Poland Springs Water;Water;14563576202;13/01/2022;Cash;144;1.5;1;144;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Chesters Fries Flaming hot;Food;14564406933;13/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Miss Vickie's Potato Chip - Jalapeno;Food;14564409465;13/01/2022;Cash;112;1.5;1;112;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Coca Cola - Zero Sugar;Carbonated;14564514322;13/01/2022;Cash;142;1;1;142;1;1;1;1;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Red Bull - Original;Carbonated;14564519839;13/01/2022;Credit;148;3;1;148;3;1;3;3;13/01/2022;;;;;;;;
Processed;VJ300205292;Brunswick Sq Mall;BSQ Mall x1364 - Zales;Ruffles Baked  - Cheddar & Sour Cream;Food;14564653620;13/01/2022;Credit;123;1.5;1;123;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Chesters Fries Flaming hot;Food;14564773615;13/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Cheetos Baked - Flaming Hot;Food;14564774110;13/01/2022;Cash;121;1.5;1;121;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;KitKat - Crisp Wafers;Food;14564911978;13/01/2022;Credit;134;2;1;134;2;1;2;2;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Chesters Fries Flaming hot;Food;14564961879;13/01/2022;Cash;111;1.5;1;111;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Mini Chips Ahoy;Food;14564963925;13/01/2022;Cash;120;1.5;1;120;1.5;1;1.5;1.5;13/01/2022;;;;;;;;
Processed;VJ300320609;GuttenPlans;GuttenPlans x1367;Coca Cola - Zero Sugar;Carbonated;14564967520;13/01/2022;Cash;141;1;1;141;1;1;1;1;13/01/2022;;;;;;;;
